ID_HerramientasQS,NumeroSerie,NumeroReparacion,Tipo,Fabricante,Modelo,Ejecución,Estado
3392,300505,300505,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3393,300506,300506,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3394,300507,300507,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3395,300508,300508,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3396,300509,300509,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3397,300510,300510,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3398,300511,300511,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,gel÷scht
3399,300512,300512,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en mantenimiento / Wartung/Rep
34,09060407,09060407,Destornillador EC,AMT,ECR220DWR200A2DWA200AZ250,husillo / Spindel,en el servicio / im Betrieb
340,09062591,100367,Destornillador EC,AMT,HCX1100WV12GF,Atornillador angular / Winkelschrauber,en la bodega / Im Lager
3400,300513,300513,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3401,300514,300514,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3402,300515,300515,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3403,300516,300516,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3404,300517,300517,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3405,300518,300518,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3406,300519,300519,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
3407,300520,300520,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,perdido / vermisst
3408,300521,300521,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en la bodega / Im Lager
3409,300522,300522,Llave de bisagra,Stahlwille,Stahlwille 755/4  4 - 40 Nm,llave dinamometrica / Knickschlüssel,en el servicio / im Betrieb
341,09062592,100366,Destornillador EC,AMT,HCX1100WV12GF,Atornillador angular / Winkelschrauber,en el servicio / im Betrieb
